turn is 225, now time is 13512.76681303978, scover line is 72437
turn is 226, now time is 13536.326469898224, scover line is 72514
turn is 227, now time is 13560.508312940598, scover line is 72514
turn is 228, now time is 13671.94649195671, scover line is 72514
turn is 229, now time is 13695.874895095825, scover line is 72514
turn is 230, now time is 13719.341901063919, scover line is 72514
turn is 231, now time is 13740.618463039398, scover line is 72514
turn is 232, now time is 13852.634231090546, scover line is 72514
turn is 233, now time is 13875.822494983673, scover line is 72514
turn is 234, now time is 13902.87241601944, scover line is 72514
turn is 235, now time is 13925.336927890778, scover line is 72514
turn is 236, now time is 14063.771274089813, scover line is 72514
turn is 237, now time is 14175.465840101242, scover line is 72514
turn is 238, now time is 14197.96881890297, scover line is 72514
turn is 239, now time is 14280.321367025375, scover line is 72514
turn is 240, now time is 14302.909769058228, scover line is 72514
turn is 241, now time is 14405.037529945374, scover line is 73161
turn is 242, now time is 14428.981723070145, scover line is 73161
turn is 243, now time is 14456.4720890522, scover line is 73161
turn is 244, now time is 14558.355256080627, scover line is 73161
turn is 245, now time is 14729.510485887527, scover line is 73173
turn is 246, now time is 14802.009222984314, scover line is 73173
turn is 247, now time is 14825.80859208107, scover line is 73173
turn is 248, now time is 14849.815828084946, scover line is 73173
turn is 249, now time is 14881.51806306839, scover line is 73173
turn is 250, now time is 14905.417932033539, scover line is 73173
turn is 251, now time is 14929.34621500969, scover line is 73173
turn is 252, now time is 15041.160674095154, scover line is 73173
turn is 253, now time is 15162.903245925903, scover line is 73173
turn is 254, now time is 15384.857903957367, scover line is 73173
turn is 255, now time is 15408.442481994629, scover line is 73173
turn is 256, now time is 15435.748147010803, scover line is 73461
turn is 257, now time is 15459.747174978256, scover line is 73691
turn is 258, now time is 15483.568703889847, scover line is 73691
turn is 259, now time is 15504.87916302681, scover line is 73691
turn is 260, now time is 15527.76801609993, scover line is 73691
turn is 261, now time is 15629.650651931763, scover line is 73691
turn is 262, now time is 15653.53241610527, scover line is 73691
turn is 263, now time is 15680.718206882477, scover line is 73691
turn is 264, now time is 15707.871439933777, scover line is 73691
turn is 265, now time is 15879.194571971893, scover line is 73691
turn is 266, now time is 15981.059653043747, scover line is 73691
turn is 267, now time is 16132.325989961624, scover line is 73691
turn is 268, now time is 16345.69040799141, scover line is 73691
turn is 269, now time is 16369.676994085312, scover line is 73691
