turn is 221, now time is 11078.634322881699, scover line is 80317
turn is 222, now time is 11134.808600902557, scover line is 80317
turn is 223, now time is 11291.613648891449, scover line is 80317
turn is 224, now time is 11326.268826961517, scover line is 80415
turn is 225, now time is 11412.626679897308, scover line is 80415
turn is 226, now time is 11439.907311916351, scover line is 80415
turn is 227, now time is 11615.01838684082, scover line is 80415
turn is 228, now time is 11769.48069691658, scover line is 80415
turn is 229, now time is 11804.153762817383, scover line is 80415
turn is 230, now time is 11838.99452495575, scover line is 80415
turn is 231, now time is 11874.352813959122, scover line is 80415
turn is 232, now time is 11909.556463003159, scover line is 80415
turn is 233, now time is 11937.026978969574, scover line is 80415
turn is 234, now time is 11971.648500919342, scover line is 80415
turn is 235, now time is 12001.115919828415, scover line is 80415
turn is 236, now time is 12028.389628887177, scover line is 80415
turn is 237, now time is 12054.323580026627, scover line is 80415
turn is 238, now time is 12082.175793886185, scover line is 80415
turn is 239, now time is 12118.519322872162, scover line is 80415
turn is 240, now time is 12273.577422857285, scover line is 80415
turn is 241, now time is 12307.716354846954, scover line is 80415
turn is 242, now time is 12337.411988019943, scover line is 80415
turn is 243, now time is 12371.835808992386, scover line is 80415
turn is 244, now time is 12427.209444999695, scover line is 80415
turn is 245, now time is 12456.883915901184, scover line is 80415
turn is 246, now time is 12485.664642810822, scover line is 80415
turn is 247, now time is 12580.810809850693, scover line is 80415
turn is 248, now time is 12725.90027999878, scover line is 80415
turn is 249, now time is 12755.542876958847, scover line is 80754
turn is 250, now time is 12851.727294921875, scover line is 80754
turn is 251, now time is 12928.26027083397, scover line is 80754
turn is 252, now time is 12962.47801399231, scover line is 80754
turn is 253, now time is 12992.130057811737, scover line is 80754
turn is 254, now time is 13027.174899816513, scover line is 80754
turn is 255, now time is 13077.24594783783, scover line is 80773
turn is 256, now time is 13143.88519001007, scover line is 80846
turn is 257, now time is 13170.973701000214, scover line is 80846
turn is 258, now time is 13198.210055828094, scover line is 80869
turn is 259, now time is 13225.628233909607, scover line is 80869
turn is 260, now time is 13253.551460981369, scover line is 80869
turn is 261, now time is 13283.395357847214, scover line is 80876
turn is 262, now time is 13368.730783939362, scover line is 80876
turn is 263, now time is 13434.953917980194, scover line is 80876
turn is 264, now time is 13462.220786809921, scover line is 80876
turn is 265, now time is 13490.190658807755, scover line is 80876
turn is 266, now time is 13517.50422000885, scover line is 80876
turn is 267, now time is 13546.097023010254, scover line is 80877
turn is 268, now time is 13574.87523984909, scover line is 80877
turn is 269, now time is 13602.265018939972, scover line is 80877
turn is 270, now time is 13629.35807299614, scover line is 80877
turn is 271, now time is 13745.741488933563, scover line is 80877
turn is 272, now time is 13802.657547950745, scover line is 80949
turn is 273, now time is 13829.586967945099, scover line is 81100
turn is 274, now time is 13896.255411863327, scover line is 81100
turn is 275, now time is 13923.124032020569, scover line is 81100
turn is 276, now time is 13950.06566786766, scover line is 81100
turn is 277, now time is 13977.759982824326, scover line is 81100
turn is 278, now time is 14006.07952594757, scover line is 81100
turn is 279, now time is 14035.798494815826, scover line is 81100
turn is 280, now time is 14069.522315979004, scover line is 81100
turn is 281, now time is 14164.672014951706, scover line is 81100
turn is 282, now time is 14193.701596021652, scover line is 81223
turn is 283, now time is 14221.059568881989, scover line is 81272
