turn is 0, cover line is 1
turn is 395, cover line is 10109
turn is 396, cover line is 10109
turn is 397, cover line is 10109
turn is 398, cover line is 10109
turn is 399, cover line is 10109
turn is 400, cover line is 10109
turn is 401, cover line is 10109
turn is 402, cover line is 10115
turn is 403, cover line is 10115
turn is 404, cover line is 10115
turn is 405, cover line is 10115
turn is 406, cover line is 10115
turn is 407, cover line is 10115
turn is 408, cover line is 10115
turn is 409, cover line is 10115
turn is 410, cover line is 10115
turn is 411, cover line is 10115
turn is 412, cover line is 10115
turn is 413, cover line is 10115
turn is 414, cover line is 10115
turn is 415, cover line is 10115
turn is 416, cover line is 10129
turn is 417, cover line is 10129
turn is 418, cover line is 10129
turn is 419, cover line is 10129
turn is 420, cover line is 10129
turn is 421, cover line is 10129
turn is 422, cover line is 10129
turn is 423, cover line is 10607
turn is 424, cover line is 10607
turn is 425, cover line is 10607
turn is 426, cover line is 10622
turn is 427, cover line is 10622
turn is 428, cover line is 10622
turn is 429, cover line is 10622
turn is 430, cover line is 10622
turn is 431, cover line is 10663
turn is 432, cover line is 10663
turn is 433, cover line is 10663
turn is 434, cover line is 10663
turn is 435, cover line is 10663
turn is 436, cover line is 10663
turn is 437, cover line is 10663
turn is 438, cover line is 10703
turn is 439, cover line is 10703
turn is 440, cover line is 10703
turn is 441, cover line is 10703
turn is 442, cover line is 10703
turn is 443, cover line is 10703
turn is 444, cover line is 10703
turn is 445, cover line is 10762
turn is 446, cover line is 10762
turn is 447, cover line is 10762
turn is 448, cover line is 10762
turn is 449, cover line is 10765
turn is 450, cover line is 10765
turn is 451, cover line is 10765
turn is 452, cover line is 10765
turn is 453, cover line is 10765
turn is 454, cover line is 10765
turn is 455, cover line is 10771
turn is 456, cover line is 10771
turn is 457, cover line is 10771
turn is 458, cover line is 10771
turn is 459, cover line is 10771
turn is 460, cover line is 10771
turn is 461, cover line is 10771
turn is 462, cover line is 10771
turn is 463, cover line is 10771
turn is 464, cover line is 10771
turn is 465, cover line is 10771
turn is 466, cover line is 10771
turn is 467, cover line is 10771
turn is 468, cover line is 10771
turn is 469, cover line is 10771
turn is 470, cover line is 10771
turn is 471, cover line is 10771
turn is 472, cover line is 10771
turn is 473, cover line is 10771
turn is 474, cover line is 10771
turn is 475, cover line is 10771
turn is 476, cover line is 10771
turn is 477, cover line is 10771
turn is 478, cover line is 10771
turn is 479, cover line is 10771
turn is 480, cover line is 10771
turn is 481, cover line is 11118
turn is 482, cover line is 11118
turn is 483, cover line is 11118
turn is 484, cover line is 11118
turn is 485, cover line is 11118
turn is 486, cover line is 11118
turn is 487, cover line is 11118
turn is 488, cover line is 11118
turn is 489, cover line is 11118
turn is 490, cover line is 11118
turn is 491, cover line is 11118
turn is 492, cover line is 11118
turn is 493, cover line is 11118
turn is 494, cover line is 11118
turn is 495, cover line is 11118
turn is 496, cover line is 11118
turn is 497, cover line is 11118
turn is 498, cover line is 11118
turn is 499, cover line is 11118
turn is 500, cover line is 11118
turn is 501, cover line is 11118
turn is 502, cover line is 11118
turn is 503, cover line is 11118
turn is 504, cover line is 11121
turn is 505, cover line is 11121
turn is 506, cover line is 11121
turn is 507, cover line is 11121
turn is 508, cover line is 11121
turn is 509, cover line is 11121
turn is 510, cover line is 11121
turn is 511, cover line is 11121
turn is 512, cover line is 11121
turn is 513, cover line is 11121
turn is 514, cover line is 11121
turn is 515, cover line is 11121
turn is 516, cover line is 11121
turn is 517, cover line is 11121
turn is 518, cover line is 11167
turn is 519, cover line is 11167
turn is 520, cover line is 11167
turn is 521, cover line is 11167
turn is 522, cover line is 11167
turn is 523, cover line is 11167
turn is 524, cover line is 11167
turn is 525, cover line is 11167
turn is 526, cover line is 11167
turn is 527, cover line is 11167
turn is 528, cover line is 11167
turn is 529, cover line is 11167
turn is 530, cover line is 11167
turn is 531, cover line is 11167
turn is 532, cover line is 11167
turn is 533, cover line is 11167
turn is 534, cover line is 11167
turn is 535, cover line is 11167
turn is 536, cover line is 11167
turn is 537, cover line is 11167
turn is 538, cover line is 11167
turn is 539, cover line is 11167
turn is 540, cover line is 11167
turn is 541, cover line is 11167
turn is 542, cover line is 11167
turn is 543, cover line is 11167
turn is 544, cover line is 11167
turn is 545, cover line is 11167
turn is 546, cover line is 11167
turn is 547, cover line is 11167
turn is 548, cover line is 11167
turn is 549, cover line is 11167
turn is 550, cover line is 11167
turn is 551, cover line is 11167
turn is 552, cover line is 11167
turn is 553, cover line is 11167
turn is 554, cover line is 11167
turn is 555, cover line is 11167
turn is 556, cover line is 11167
turn is 557, cover line is 11167
turn is 558, cover line is 11167
turn is 559, cover line is 11167
turn is 560, cover line is 11167
turn is 561, cover line is 11167
turn is 562, cover line is 11167
turn is 563, cover line is 11167
turn is 564, cover line is 11167
turn is 565, cover line is 11167
turn is 566, cover line is 11167
turn is 567, cover line is 11167
turn is 568, cover line is 11167
turn is 569, cover line is 11167
turn is 570, cover line is 11167
turn is 571, cover line is 11167
turn is 572, cover line is 11167
turn is 573, cover line is 11167
turn is 574, cover line is 11167
turn is 575, cover line is 11167
turn is 576, cover line is 11167
turn is 577, cover line is 11167
turn is 578, cover line is 11186
turn is 579, cover line is 11186
turn is 580, cover line is 11186
turn is 581, cover line is 11186
turn is 582, cover line is 11188
turn is 583, cover line is 11188
turn is 584, cover line is 11188
turn is 585, cover line is 11188
turn is 586, cover line is 11188
turn is 587, cover line is 11188
turn is 588, cover line is 11188
turn is 589, cover line is 11188
turn is 590, cover line is 11188
turn is 591, cover line is 11188
turn is 592, cover line is 11188
turn is 593, cover line is 11188
turn is 594, cover line is 11188
turn is 595, cover line is 11188
turn is 596, cover line is 11188
turn is 597, cover line is 11194
turn is 598, cover line is 11194
turn is 599, cover line is 11194
turn is 600, cover line is 11194
turn is 601, cover line is 11194
turn is 602, cover line is 11194
